charger_id,name,lat,lon,city,state,operator,source
480407,Power Plus EVCS,9.168893147180441,76.71631290057576,Adoor,Kerala,Unknown,OpenChargeMap
480406,Pathanapuram Anjana EVCS,9.096268712020645,76.84666890396215,Pathanapuram,Kerala,Unknown,OpenChargeMap
480405,Kallambalam Power Bay EVCS,8.756819929206785,76.79358309071404,Thiruvananthapuram ,Kerala,Unknown,OpenChargeMap
480404,Pulimath Maram Chai Cafe EVCS,8.746709854174853,76.89821761212352,Thiruvananthapuram ,Kerala,Unknown,OpenChargeMap
480403,Nedumangad KFC EVCS,8.604154390902394,76.99784557219118,Nedumangad,Kerala,Unknown,OpenChargeMap
480402,RashMishi DLF South Court,28.527351121599693,77.22113007205314,NewDelhi,Delhi,Unknown,OpenChargeMap
479727,Nikol EV Charging station ,18.717181904569728,74.18292088190788,Pune,,Unknown,OpenChargeMap
479445,Blaze Fast Charger For 2 Ev Wheeler ,17.340475789422385,78.54539549782817,Lb Nagar ,Telangana ,Unknown,OpenChargeMap
479438,Tata Power Charging Station,22.2869608,86.7909833,Unknown,Odisha,Unknown,OpenChargeMap
479437,Hindustan Petroleum Corporation Limited Charging Station,22.4497441,86.59494370000002,Unknown,Odisha,Unknown,OpenChargeMap
479436,Hindustan Petroleum Corporation Limited,22.4498584,86.5950411,Unknown,Odisha,Unknown,OpenChargeMap
479435,Jio-bp,22.140249999999998,85.71265,Unknown,Odisha,Unknown,OpenChargeMap
479434,Jio-bp,22.0015401,85.3279801,Unknown,Odisha,Unknown,OpenChargeMap
479433,Ather Grid Charging Station,22.243665999999997,84.827354,Unknown,Odisha,Unknown,OpenChargeMap
479432,Ather Grid Charging Station,22.23666,84.77015,Unknown,Odisha,Unknown,OpenChargeMap
479431,Ather Grid Charging Station,22.226704599999998,84.8641165,Unknown,Odisha,Unknown,OpenChargeMap
479430,Tata Power Charging Station,22.2268099,84.79603639999999,Unknown,Odisha,Unknown,OpenChargeMap
479429,Ather Charging Station,22.2278125,84.81838739999999,Unknown,Odisha,Unknown,OpenChargeMap
479428,Ather charging station,22.1040381,84.0375432,Unknown,Odisha,Unknown,OpenChargeMap
479427,Jio-bp,22.1100379,83.99531890000002,Unknown,Odisha,Unknown,OpenChargeMap
479426,Ather Grid Charging Station,22.105083,84.03789499999999,Unknown,Odisha,Unknown,OpenChargeMap
479425,Tata Power Charging Station,21.762953,87.010724,Unknown,Odisha,Unknown,OpenChargeMap
479424,Ather Grid Charging Station,21.940046,86.74460599999999,Unknown,Odisha,Unknown,OpenChargeMap
479423,WARIVO ELECTRIC SCOOTER SHOWROOM -PREMJIT MOTORS BARIPADA,21.9265285,86.7319555,Unknown,Odisha,Unknown,OpenChargeMap
479422,Ather Grid Charging Station,21.909101,86.751335,Unknown,Odisha,Unknown,OpenChargeMap
